"name","month","day","year","lat","long","status","category","wind","pressure"
"AL011993",6,1,1993,25.4,-77.5,"tropical depression","-1",30,999
"AL012000",6,7,2000,21,-93,"tropical depression","-1",25,1008
"AL021992",6,25,1992,25.7,-85.5,"tropical depression","-1",30,1007
"AL021994",7,20,1994,33,-79.1,"tropical depression","-1",30,1015
"AL021999",7,2,1999,20.2,-95,"tropical depression","-1",30,1006
"AL022000",6,23,2000,9.6,-21,"tropical depression","-1",30,1009
"AL022001",7,11,2001,10.9,-42.1,"tropical depression","-1",25,1011
"AL022003",6,11,2003,9.5,-40.8,"tropical depression","-1",30,1009
"AL022006",7,17,2006,41.1,-63.7,"tropical storm","0",45,998
"AL031987",8,10,1987,28.4,-94.4,"tropical storm","0",40,1008
"AL031992",7,25,1992,28.8,-62.7,"tropical depression","-1",30,1016
"AL041991",8,24,1991,14.9,-23.9,"tropical depression","-1",30,1009
"AL042000",8,8,2000,28.2,-74.2,"tropical depression","-1",30,1011
"AL051994",8,29,1994,20.5,-93,"tropical depression","-1",30,1007
"AL061988",9,8,1988,17.5,-20.5,"tropical storm","0",50,1002
"AL061995",8,6,1995,21.2,-96.7,"tropical depression","-1",30,1003
"AL061997",7,17,1997,12.5,-52.7,"tropical depression","-1",30,1008
"AL062003",7,19,2003,12.3,-43.5,"tropical depression","-1",30,1010
"AL071999",9,6,1999,22,-96.7,"tropical depression","-1",30,1006
"AL072002",9,7,2002,24.3,-47.5,"tropical depression","-1",30,1013
"AL072003",7,26,2003,30.7,-80.8,"tropical depression","-1",30,1016
"AL081992",9,25,1992,11.1,-36.2,"tropical depression","-1",30,1011
"AL081994",9,24,1994,16.3,-85.1,"tropical depression","-1",30,1007
"AL091994",9,27,1994,13.8,-20.8,"tropical depression","-1",30,1008
"AL092000",9,8,2000,28,-93.5,"tropical depression","-1",30,1008
"AL092001",9,19,2001,13.4,-81.9,"tropical depression","-1",30,1008
"AL092003",8,21,2003,14.5,-65.5,"tropical depression","-1",30,1009
"AL101991",10,24,1991,13.4,-42.3,"tropical depression","-1",25,1009
"AL101993",9,29,1993,30,-63.2,"tropical depression","-1",30,1012
"AL101994",9,29,1994,22,-85,"tropical depression","-1",30,1006
"AL102004",9,9,2004,35.3,-35,"tropical depression","-1",30,1012
"AL111999",10,4,1999,20.1,-94.1,"tropical depression","-1",30,1005
"AL121991",11,1,1991,38.2,-66.5,"hurricane","1",65,980
"AL121999",10,6,1999,14.4,-44.8,"tropical depression","-1",30,1008
"AL141995",9,11,1995,22.6,-52.2,"tropical depression","-1",30,1008
"AL142002",10,14,2002,16.9,-82.6,"tropical depression","-1",30,1008
"AL142003",9,9,2003,12.4,-24.4,"tropical depression","-1",30,1007
"Al202011",9,1,2011,37.4,-63.7,"tropical storm","0",40,1004
"Alberto",8,12,2000,35.9,-55.3,"hurricane","3",110,950
"Alex",8,5,2004,38.5,-66,"hurricane","3",105,957
"Alicia",8,18,1983,28.9,-95,"hurricane","3",100,963
"Allison",6,4,1995,24.7,-86.2,"hurricane","1",65,987
"Amelia",7,31,1978,26.4,-97.4,"tropical storm","0",45,1005
"Amy",6,30,1975,35.9,-70.5,"tropical storm","0",60,987
"Ana",7,19,1985,44.2,-60.3,"tropical storm","0",60,996
"Andrea",6,6,2013,27.8,-84.9,"tropical storm","0",55,995
"Andrew",8,23,1992,25.4,-75.8,"hurricane","5",150,922
"Anita",9,2,1977,24.2,-97.1,"hurricane","5",150,926
"Arthur",7,4,2014,34,-77.3,"hurricane","2",85,975
"Barry",8,28,1983,25.4,-97.4,"hurricane","1",70,986
"Belle",8,9,1976,30.9,-75.3,"hurricane","3",105,957
"Beryl",8,31,1982,17.2,-36.4,"tropical storm","0",60,992
"Bess",8,7,1978,21.6,-96.6,"tropical storm","0",45,1006
"Beta",10,30,2005,13.3,-83.1,"hurricane","3",100,962
"Bill",8,19,2009,17.6,-54.2,"hurricane","4",115,954
"Bob",8,19,1991,36.5,-74.5,"hurricane","3",100,950
"Bonnie",8,23,1998,24.1,-71.5,"hurricane","3",100,958
"Caroline",8,31,1975,24,-97,"hurricane","3",100,973
"Cesar",7,28,1996,12.2,-83.9,"hurricane","1",75,985
"Chantal",8,1,1989,28.7,-93.5,"hurricane","1",70,987
"Charley",8,13,2004,26.6,-82.2,"hurricane","4",130,941
"Chris",6,21,2012,40.5,-43.9,"hurricane","1",75,974
"Clara",9,8,1977,35.5,-67.7,"hurricane","1",65,993
"Claudette",9,7,1991,27,-61.5,"hurricane","4",115,944
"Colin",8,5,2010,25,-66.1,"tropical storm","0",50,1005
"Cora",8,9,1978,14,-44.9,"hurricane","1",80,980
"Cristobal",8,28,2014,37.5,-63.6,"hurricane","1",75,971
"Danielle",8,27,2010,27.1,-60.1,"hurricane","4",115,942
"Danny",8,21,2015,13.8,-47.8,"hurricane","3",110,960
"David",8,30,1979,16.6,-66.2,"hurricane","5",150,924
"Dean",8,21,2007,18.6,-86.9,"hurricane","5",150,907
"Debby",9,18,1982,38.8,-62.3,"hurricane","4",115,950
"Diana",9,12,1984,33.9,-77.7,"hurricane","4",115,949
"Don",7,29,2011,24.6,-91.9,"tropical storm","0",45,997
"Dorian",7,25,2013,15.3,-33.9,"tropical storm","0",50,1002
"Doris",9,2,1975,36.4,-44.5,"hurricane","2",95,965
"Edouard",8,25,1996,15.4,-47,"hurricane","4",125,933
"Eight",9,25,2009,16.1,-31.1,"tropical depression","-1",30,1008
"Emily",7,17,2005,17.1,-79.5,"hurricane","5",140,929
"Epsilon",12,5,2005,34,-36.7,"hurricane","1",75,981
"Erika",9,8,1997,23.2,-62.5,"hurricane","3",110,952
"Erin",9,9,2001,32.4,-62.8,"hurricane","3",105,968
"Ernesto",8,8,2012,18.8,-87.7,"hurricane","2",85,973
"Evelyn",10,15,1977,42.4,-61.5,"hurricane","1",70,996
"Fabian",9,1,2003,19,-57.3,"hurricane","4",125,944
"Fay",10,12,2014,32.3,-64.7,"hurricane","1",70,984
"Felix",9,3,2007,13.8,-73,"hurricane","5",150,935
"Fernand",8,26,2013,19.2,-95.9,"tropical storm","0",50,1001
"Fifteen",10,11,2007,29.5,-52.6,"tropical depression","-1",30,1011
"Fiona",9,1,2010,19.5,-62.5,"tropical storm","0",55,999
"Five",8,10,2010,25.9,-83.7,"tropical depression","-1",30,1008
"Floyd",9,13,1999,23.6,-70,"hurricane","4",135,922
"Franklin",7,23,2005,29.2,-75.4,"tropical storm","0",60,1001
"Fred",9,9,2009,13.6,-32.1,"hurricane","3",105,958
"Frederic",9,12,1979,27.4,-87,"hurricane","4",115,943
"Gabrielle",9,5,1989,19.3,-55.7,"hurricane","4",125,944
"Gamma",11,19,2005,16.1,-85.4,"tropical storm","0",45,1002
"Gaston",8,29,2004,32.8,-79.5,"hurricane","1",65,986
"Georges",9,20,1998,16,-56.3,"hurricane","4",135,937
"Gert",9,16,1999,17.8,-50.8,"hurricane","4",130,930
"Gilbert",9,14,1988,19.7,-83.8,"hurricane","5",160,888
"Gloria",9,25,1985,25.1,-70.9,"hurricane","4",125,920
"Gonzalo",10,16,2014,25.6,-68.7,"hurricane","4",125,940
"Gordon",9,14,2006,27.3,-57.4,"hurricane","3",105,955
"Gustav",8,30,2008,22.4,-83.1,"hurricane","4",135,941
"Hanna",9,2,2008,21.8,-72.3,"hurricane","1",75,977
"Harvey",9,15,1981,28.4,-62.6,"hurricane","4",115,946
"Henri",9,17,1979,20.4,-94.3,"hurricane","1",75,983
"Hermine",9,22,1980,17.8,-87.8,"tropical storm","0",60,994
"Hortense",9,13,1996,25.9,-71.5,"hurricane","4",120,935
"Hugo",9,15,1989,14.6,-54.6,"hurricane","5",140,918
"Humberto",8,24,1995,15.7,-43.2,"hurricane","2",95,968
"Ida",11,9,2009,23,-86.5,"hurricane","2",90,979
"Igor",9,15,2010,18.9,-53.5,"hurricane","4",135,924
"Ike",9,4,2008,22.4,-55,"hurricane","4",125,935
"Ingrid",9,15,2013,21.6,-94.7,"hurricane","1",75,983
"Iris",10,9,2001,16.5,-88,"hurricane","4",125,948
"Isaac",9,28,2000,26.6,-54.2,"hurricane","4",120,943
"Isabel",9,11,2003,21.5,-54.8,"hurricane","5",145,915
"Isidore",9,21,2002,21.9,-86.1,"hurricane","3",110,946
"Ivan",9,11,2004,18,-79,"hurricane","5",145,920
"Jeanne",9,25,2004,26.9,-78.2,"hurricane","3",105,952
"Jerry",10,16,1989,29.1,-95,"hurricane","1",75,983
"Joan",10,22,1988,11.9,-83.2,"hurricane","4",125,932
"Joaquin",10,3,2015,25.4,-72.6,"hurricane","4",135,934
"Josephine",10,12,1984,31.4,-71.7,"hurricane","2",90,970
"Joyce",9,28,2000,12.2,-42.5,"hurricane","1",80,975
"Juan",9,27,2003,35.5,-63.2,"hurricane","2",90,969
"Julia",9,15,2010,17.7,-32.2,"hurricane","4",120,948
"Juliet",10,9,1978,19.3,-60.9,"tropical storm","0",45,1006
"Karen",10,14,2001,38.6,-63.7,"hurricane","1",70,982
"Karl",9,21,2004,19.6,-47.3,"hurricane","4",125,938
"Kate",10,4,2003,30.2,-54,"hurricane","3",110,952
"Katia",9,6,2011,25.6,-64,"hurricane","4",120,942
"Katrina",8,28,2005,26.3,-88.6,"hurricane","5",150,902
"Keith",10,1,2000,17.9,-87.2,"hurricane","4",120,941
"Kirk",8,31,2012,29.6,-50.7,"hurricane","2",90,970
"Klaus",11,8,1984,19.9,-61.4,"hurricane","1",80,984
"Kyle",9,26,2002,27.9,-58.3,"hurricane","1",75,982
"Larry",10,3,2003,20.5,-94,"tropical storm","0",55,993
"Lee",9,3,2011,28.5,-91.8,"tropical storm","0",45,997
"Lenny",11,17,1999,17.4,-64.8,"hurricane","4",135,933
"Leslie",9,5,2012,25.6,-62.8,"hurricane","1",70,982
"Lili",10,2,2002,25.9,-89.9,"hurricane","4",125,938
"Lisa",9,25,2010,20.4,-27.8,"hurricane","1",75,982
"Lorenzo",9,28,2007,20.5,-96.3,"hurricane","1",70,990
"Luis",9,3,1995,17.4,-51.8,"hurricane","4",120,948
"Marco",11,20,1996,13.8,-78.5,"hurricane","1",65,983
"Maria",9,6,2005,32.6,-56.6,"hurricane","3",100,962
"Marilyn",9,16,1995,19.7,-66.4,"hurricane","3",100,950
"Matthew",9,24,2010,14.6,-83,"tropical storm","0",50,998
"Melissa",11,21,2013,39.9,-36.6,"tropical storm","0",55,980
"Michael",9,6,2012,29.9,-41.4,"hurricane","3",100,964
"Michelle",11,4,2001,20.1,-83.3,"hurricane","4",120,944
"Mindy",10,10,2003,19.1,-68.8,"tropical storm","0",40,1004
"Mitch",10,26,1998,16.9,-83.1,"hurricane","5",155,905
"Nadine",9,30,2012,36.8,-38.3,"hurricane","1",80,978
"Nana",10,18,1990,24.1,-63.8,"hurricane","1",75,990
"Nate",9,9,2005,32.6,-61.1,"hurricane","1",80,979
"Nicholas",10,17,2003,15.5,-48,"tropical storm","0",60,990
"Nicole",12,1,1998,35.1,-37.9,"hurricane","1",75,979
"Nine",9,17,2015,15.6,-45,"tropical depression","-1",30,1006
"Nineteen",9,30,2005,12.2,-33,"tropical depression","-1",30,1007
"Noel",11,2,2007,26.4,-76.5,"hurricane","1",70,981
"Odette",12,6,2003,15.9,-72.5,"tropical storm","0",55,995
"Olga",11,27,2001,32.6,-57,"hurricane","1",80,973
"Omar",10,16,2008,18.2,-63.9,"hurricane","4",115,958
"One",5,28,2009,37.5,-70.3,"tropical depression","-1",30,1006
"Opal",10,4,1995,26.6,-88.8,"hurricane","4",130,916
"Ophelia",10,2,2011,32.8,-62.5,"hurricane","4",120,940
"Oscar",10,4,2012,20.2,-42,"tropical storm","0",45,998
"Otto",10,9,2010,27.2,-61.7,"hurricane","1",75,976
"Pablo",10,6,1995,11.5,-41.9,"tropical storm","0",50,997
"Paloma",11,8,2008,19.8,-79.6,"hurricane","4",125,944
"Patty",10,12,2012,25.5,-72.4,"tropical storm","0",40,1005
"Paula",10,12,2010,18.8,-85.9,"hurricane","2",90,981
"Peter",12,9,2003,21,-37,"tropical storm","0",60,990
"Philippe",10,6,2011,28.2,-59.7,"hurricane","1",80,977
"Rafael",10,16,2012,24.6,-65.6,"hurricane","1",80,974
"Richard",10,25,2010,17.2,-88.2,"hurricane","2",85,977
"Rina",10,25,2011,17.3,-84.2,"hurricane","3",100,971
"Rita",9,22,2005,24.7,-87.3,"hurricane","5",155,895
"Roxanne",10,10,1995,20,-86.7,"hurricane","3",100,956
"Sandy",10,25,2012,20,-76,"hurricane","3",100,954
"Sean",11,9,2011,27.9,-70.4,"tropical storm","0",55,994
"Sebastien",10,22,1995,21.5,-58.5,"tropical storm","0",55,1001
"Shary",10,30,2010,31.3,-64,"hurricane","1",65,990
"Sixteen",10,14,2008,15.5,-82.8,"tropical depression","-1",25,1004
"Stan",10,4,2005,18.6,-94.9,"hurricane","1",70,977
"Tammy",10,5,2005,29.5,-80.9,"tropical storm","0",45,1001
"Tanya",10,30,1995,33.8,-51.8,"hurricane","1",75,977
"Ten",8,13,2005,13.8,-44.7,"tropical depression","-1",30,1008
"Tomas",10,30,2010,13.4,-61.2,"hurricane","2",85,987
"Tony",10,24,2012,27.9,-46.8,"tropical storm","0",45,1000
"Two",7,8,2010,23.7,-93.7,"tropical depression","-1",30,1005
"Vince",10,9,2005,34.1,-18.9,"hurricane","1",65,988
"Wilma",10,19,2005,17.3,-82.8,"hurricane","5",160,882
"Zeta",1,1,2006,25,-38.6,"tropical storm","0",55,994
