"artist","track","year","month","day","n_weeks","max_rank"
"Beenie Man","Girls Dem Sugar","2000","10","21",15,54
"Simpson, Jessica","I Think I'm In Love ...","2000","07","01",16,21
"Cagle, Chris","My Love Goes On And ...","2000","10","21",11,76
"Pink","There U Go","2000","03","04",32,7
"Loveless, Patty","That's The Kind Of M...","2000","09","16",14,71
"Red Hot Chili Peppers","Otherside","2000","02","12",22,14
"Third Eye Blind","Deep Inside Of You","2000","09","02",12,69
"Dr. Dre","Forgot About Dre","2000","01","22",20,25
"DMX","What You Want","2000","07","01",20,49
"Tuesday","I Know","2000","12","30",2,98
"McGraw, Tim","My Next Thirty Years","2000","10","21",20,27
"Dixie Chicks, The","Without You","2000","10","07",20,31
"Fatboy Slim","The Rockafeller Skan...","1999","11","13",12,76
"Hill, Faith","Let's Make Love","2000","08","12",14,54
"A*Teens","Dancing Queen","2000","07","08",5,95
"Nine Days","Absolutely (Story Of...","2000","05","06",27,6
"Chesney, Kenny","What I Need To Do","2000","04","01",17,56
"Zombie Nation","Kernkraft 400","2000","09","02",2,99
"Destiny's Child","Jumpin' Jumpin'","2000","05","13",32,3
"Spears, Britney","From The Bottom Of M...","2000","01","29",20,14
"Martin, Ricky","She Bangs","2000","10","07",18,12
"Ginuwine","None Of Ur Friends B...","1999","12","11",15,48
"Spears, Britney","Lucky","2000","08","12",11,23
"TLC","Dear Lie","2000","02","12",7,51
"Foo Fighters","Learn To Fly","1999","10","16",21,19
"Smith, Will","Freakin' It","2000","02","12",4,99
"Funkmaster Flex","Do You","2000","11","11",7,91
"Dr. Dre","The Next Episode","2000","05","27",20,23
"Smash Mouth","Then The Morning Com...","1999","10","30",26,11
"Guy","Dancin'","1999","12","18",11,19
"Q-Tip","Breathe And Stop","2000","01","22",5,71
"Kid Rock","Only God Knows Why","2000","02","19",20,19
"Sisqo","Incomplete","2000","06","24",26,1
"Rimes, LeAnn","I Need You","2000","05","27",25,11
"Joe","Treat Her Like A Lad...","2000","08","05",17,63
"Aguilera, Christina","What A Girl Wants","1999","11","27",24,1
"Counting Crows","Hanginaround","1999","11","06",20,28
"Braxton, Toni","He Wasn't Man Enough","2000","03","18",37,2
"Mumba, Samantha","Gotta Tell You","2000","09","09",22,4
"Baha Men","Who Let The Dogs Out","2000","07","22",20,40
"Ruff Endz","No More","2000","07","01",26,5
"Levert, Gerald","Mr. Too Damn Good","2000","03","18",8,76
"Thomas, Carl","Summer Rain","2000","09","23",11,80
"SheDaisy","This Woman Needs","2000","02","05",9,57
"Carey, Mariah","Thank God I Found Yo...","1999","12","11",20,1
"Lawrence, Tracy","Lessons Learned","2000","01","29",20,40
"Houston, Whitney","Could I Have This Ki...","2000","06","17",20,52
"De La Soul","All Good?","2000","12","23",3,96
"Destiny's Child","Independent Women Pa...","2000","09","23",28,1
"Griggs, Andy","She's More","2000","03","11",20,37
"Sisqo","Thong Song","2000","01","29",28,3
"Jackson, Alan","Pop A Top","1999","11","13",18,43
"Santana","Maria, Maria","2000","02","12",26,1
"Shyne","Bad Boyz","2000","09","09",15,57
"Jean, Wyclef","911","2000","10","07",19,38
"Madonna","American Pie","2000","02","19",9,29
"504 Boyz","Wobble Wobble","2000","04","15",18,17
"Jay-Z","Big Pimpin'","2000","04","22",20,18
"Filter","Take A Picture","1999","11","27",20,12
"McEntire, Reba","I'll Be","2000","05","13",20,51
"M2M","Don't Say You Love M...","1999","11","20",12,21
"En Vogue","Riddle","2000","06","17",4,92
"Rogers, Kenny","Buy Me A Rose","2000","03","11",20,40
"Vassar, Phil","Carlene","2000","03","04",19,45
"Moore, Mandy","I Wanna Be With You","2000","06","17",27,24
"Rimes, LeAnn","Big Deal","1999","10","16",20,23
"Lopez, Jennifer","Talk About Us",NA,NA,NA,0,NA
"Sting","Desert Rose","2000","05","13",26,17
"Eastsidaz, The","Got Beef","2000","07","01",2,99
"McBride, Martina","Love's The Only Hous...","2000","02","05",20,42
"Usher","Pop Ya Collar","2000","11","04",7,60
"Braxton, Toni","Just Be A Man About ...","2000","07","29",20,32
"Kumbia Kings","U Don't Love Me","2000","03","04",10,62
"Smash Mouth","All Star",NA,NA,NA,0,NA
"IMx","Stay The Night","1999","10","09",20,23
"SheDaisy","Deck The Halls","1999","12","25",2,61
"Price, Kelly","Love Sets You Free","2000","05","13",4,91
"Stone, Angie","No More Rain (In Thi...","1999","12","25",17,56
"Worley, Darryl","When You Need My Lov...","2000","06","17",15,75
"Dream","He Loves U Not","2000","09","30",28,2
"Vertical Horizon","You're A God","2000","08","26",21,23
"Gray, Macy","I Try","2000","02","19",27,5
"Raye, Collin","Couldn't Last A Mome...","2000","03","18",20,43
"Henley, Don","Taking You Home","2000","06","24",20,58
"Kandi","Don't Think I'm Not","2000","08","05",24,24
"Mya","The Best Of Me","2000","04","15",17,50
"Jay-Z","Do It Again (Put Ya ...","2000","01","15",9,65
"Ja Rule","Between Me And You","2000","09","16",20,11
"Paisley, Brad","Me Neither","2000","05","13",4,85
"Madison Avenue","Don't Call Me Baby","2000","07","08",20,88
"Eiffel 65","Blue","1999","12","11",20,6
"Tippin, Aaron","Kiss This","2000","08","26",20,42
"Lil Wayne","Tha Block Is Hot","1999","12","04",11,72
"Walker, Clay","The Chain Of Love","2000","04","15",20,40
"Yearwood, Trisha","Real Live Woman","2000","04","01",6,81
"Lil' Mo","Ta Da","2000","08","12",7,95
"Tamia","Can't Go For That","2000","09","16",5,84
"Avant","My First Love","2000","11","04",20,26
"Aaliyah","I Don't Wanna","2000","01","29",20,35
"Nas","You Owe Me","2000","03","25",16,59
"Jay-Z","Anything","2000","02","26",8,55
"SoulDecision","Faded","2000","07","08",24,22
"Walker, Clay","Live, Laugh, Love","1999","12","04",11,74
"Yankee Grey","Another Nine Minutes","2000","04","29",8,74
"Eve","Got It All","2000","07","15",5,88
"Hart, Beth","L.A. Song","1999","11","27",12,90
"Pearl Jam","Nothing As It Seems","2000","05","13",6,49
"Wills, Mark","Back At One","2000","01","15",18,36
"Limp Bizkit","N 2 Gether Now","1999","12","04",11,73
"LFO","West Side Story","2000","08","05",4,84
"Evans, Sara","Born To Fly","2000","10","21",20,34
"Spears, Britney","Oops!.. I Did It Aga...","2000","04","22",20,9
"Jordan, Montell","Get It On.. Tonite","1999","10","23",32,4
"Fabian, Lara","I Will Love Again","2000","06","10",17,32
"LL Cool J","Imagine That","2000","08","12",2,98
"Vitamin C","Graduation (Friends ...","2000","04","15",12,38
"Jones, Donell","Where I Wanna Be","2000","04","22",20,29
"Backstreet Boys, The","The One","2000","05","27",15,30
"Ludacris","What's Your Fantasy","2000","09","30",22,21
"Lil Wayne","Loud Pipes",NA,NA,NA,0,NA
"Son By Four","A Puro Dolor (Purest...","2000","04","08",26,26
"M2M","Mirror Mirror","2000","04","01",18,62
"Lonestar","Amazed","1999","06","05",64,1
"Lox","Ryde or Die, Chick","2000","03","18",7,73
"John, Elton","Someday Out Of The B...","2000","04","22",15,49
"Barenaked Ladies","Pinch Me","2000","09","09",21,15
"Iglesias, Enrique","Rhythm Divine","1999","12","04",17,32
"Creed","With Arms Wide Open","2000","05","13",47,1
"Hanson","This Time Around","2000","04","22",7,20
"Backstreet Boys, The","Shape Of My Heart","2000","10","14",20,9
"Third Eye Blind","Never Let You Go","2000","01","22",22,14
"Fragma","Toca's Miracle","2000","10","28",1,99
"Herndon, Ty","No Mercy","2000","03","18",10,92
"Anthony, Marc","My Baby You","2000","09","16",20,70
"Bega, Lou","Tricky Tricky","2000","01","29",3,74
"Houston, Whitney","Same Script, Differe...","2000","06","17",9,70
"N'Sync","It's Gonna Be Me","2000","05","06",25,1
"Ice Cube","You Can Do It","1999","12","04",12,35
"Williams, Robbie","Angels","1999","11","20",19,53
"Brock, Chad","A Country Boy Can Su...","2000","01","01",3,75
"Thomas, Carl","Emotional","2000","11","25",20,47
"Levert, Gerald","Baby U Are","2000","08","19",5,89
"3 Doors Down","Kryptonite","2000","04","08",53,3
"Spencer, Tracie","Still In My Heart","2000","03","04",3,88
"BBMak","Back Here","2000","04","29",31,13
"SheDaisy","I Will.. But","2000","07","15",20,43
"Savage Garden","I Knew I Loved You","1999","10","23",33,1
"Limp Bizkit","Re-Arranged","1999","12","04",18,88
"Tamar","If You Don't Wanna L...","2000","03","25",6,89
"McKnight, Brian","Stay Or Let It Go","2000","02","26",8,76
"Braxton, Toni","Spanish Guitar","2000","12","02",3,98
"2Ge+her","The Hardest Part Of ...","2000","09","02",3,87
"Martin, Ricky","Shake Your Bon-Bon","1999","11","20",18,22
"Goo Goo Dolls","Broadway","2000","04","22",20,24
"Blige, Mary J.","Deep Inside","1999","11","13",15,63
"McGraw, Tim","Some Things Never Ch...","2000","05","13",14,58
"Lil Bow Wow","Bounce With Me","2000","08","19",22,20
"No Doubt","Simple Kind Of Life","2000","07","01",13,38
"Kelis","Caught Out There","1999","12","04",12,54
"Sister Hazel","Change Your Mind","2000","07","15",20,59
"Strait, George","Go On","2000","08","26",21,40
"Black, Clint","Been There","2000","02","19",20,44
"Trick Daddy","Shut Up","2000","05","20",11,83
"Red Hot Chili Peppers","Californication","2000","07","29",19,69
"Nu Flavor","3 Little Words","2000","06","03",9,89
"Sheist, Shade","Where I Wanna Be","2000","11","11",5,95
"Simpson, Jessica","Where You Are","2000","04","01",6,62
"Juvenile","U Understand","2000","02","05",6,83
"Westlife","Swear It Again","2000","04","01",20,20
"Bon Jovi","It's My Life","2000","08","12",20,33
"Byrd, Tracy","Put Your Hand In Min...","2000","01","29",8,76
"Iglesias, Enrique","Be With You","2000","04","01",20,1
"Rimes, LeAnn","Can't Fight The Moon...","2000","09","09",20,71
"N'Sync","Bye Bye Bye","2000","01","29",23,4
"Limp Bizkit","Rollin'","2000","11","11",17,65
"Messina, Jo Dee","Because You Love Me","2000","01","29",13,53
"Martin, Ricky","Private Emotion","2000","03","11",5,67
"Metallica","No Leaf Clover (Live...","2000","02","12",10,74
"Jagged Edge","Let's Get Married","2000","05","06",24,11
"Allan, Gary","Smoke Rings In The D...","2000","01","22",5,76
"Diffie, Joe","It's Always Somethin...","2000","08","12",15,57
"Before Dark","Monica","2000","05","20",9,77
"R.E.M.","The Great Beyond","1999","12","25",14,57
"Badu, Erkyah","Bag Lady","2000","08","19",20,6
"Montgomery, John Michael","The Little Girl","2000","09","09",20,35
"Lonestar","What About Now","2000","06","10",20,30
"Thomas, Carl","I Wish","2000","03","25",20,20
"Train","Meet Virginia","1999","10","09",27,20
"Sonique","It Feels So Good","2000","01","22",24,8
"Papa Roach","Last Resort","2000","07","29",20,57
"Jay-Z","Hey Papi","2000","08","12",15,76
"Metallica","I Disappear","2000","05","13",20,76
"Rascal Flatts","Prayin' For Daylight","2000","05","06",20,38
"Davidson, Clay","Unconditional","2000","03","25",20,49
"Tritt, Travis","Best Of Intentions","2000","08","19",22,27
"Janet","Doesn't Really Matte...","2000","06","17",24,1
"Messina, Jo Dee","That's The Way","2000","06","24",20,25
"D'Angelo","Left & Right","1999","12","11",5,70
"Lil' Zane","Callin' Me","2000","07","29",13,21
"D'Angelo","Untitled (How Does I...","2000","01","22",17,25
"Everclear","Wonderful","2000","07","08",21,11
"Houston, Whitney","I Learned From The B...","2000","02","19",11,27
"Pink","Most Girls","2000","08","12",27,4
"Dion, Celine","That's The Way It Is","1999","11","13",28,6
"Gill, Vince","Feels Like Love","2000","09","02",21,52
"Carey, Mariah","Crybaby","2000","06","24",7,28
"Musiq","Just Friends","2000","10","14",20,31
"Aaliyah","Try Again","2000","03","18",32,1
"Jagged Edge","He Can't Love U","1999","12","11",20,15
"Lopez, Jennifer","Feelin' Good","2000","02","19",19,51
"Ying Yang Twins","Whistle While You Tw...","2000","03","18",14,74
"Ideal","Whatever","2000","06","10",18,47
"Jackson, Alan","www.memory","2000","11","04",15,45
"98^0","Give Me Just One Nig...","2000","08","19",20,2
"Brooks, Garth","Do What You Gotta Do","2000","02","19",6,69
"Alice Deejay","Better Off Alone","2000","04","08",20,27
"Blaque","Bring It All To Me","1999","10","23",29,5
"Estefan, Gloria","No Me Dejes De Quere...","2000","06","10",1,77
"Ginuwine","The Best Man I Can B...","2000","01","08",12,77
"Carter, Aaron","Aaron's Party (Come ...","2000","08","26",15,35
"Elliott, Missy ""Misdemeanor""","Hot Boyz","1999","11","27",21,5
"Eminem","The Way I Am","2000","08","26",10,58
"Mya","Case Of The Ex (What...","2000","08","19",30,2
"Hollister, Dave","Can't Stay","2000","03","25",4,84
"Blige, Mary J.","Give Me You","2000","04","15",10,68
"Big Punisher","It's So Hard","2000","04","22",15,75
"Adkins, Trace","More","2000","04","29",11,65
"Price, Kelly","You Should've Told M...","2000","09","23",20,64
"Heatherly, Eric","Flowers On The Wall","2000","04","29",20,50
"Moore, Chante","Straight Up","2000","10","28",9,83
"2 Pac","Baby Don't Cry (Keep...","2000","02","26",7,72
"Eastsidaz, The","G'D Up","2000","01","08",14,47
"Clark Family Experience","Meanwhile Back At Th...","2000","11","18",12,80
"DMX","What's My Name","2000","01","15",11,67
"Amber","Sexual","1999","07","17",33,42
"Eminem","The Real Slim Shady","2000","05","06",19,4
"Puff Daddy","Best Friend","2000","02","12",5,59
"Hot Boys","I Need A Hot Girl","2000","02","19",13,65
"Paisley, Brad","We Danced","2000","10","14",20,29
"Joe","I Wanna Know","2000","01","01",44,4
"Larrieux, Amel","Get Up","2000","03","04",3,97
"Wright, Chely","It Was","2000","03","04",10,64
"Nelly","(Hot S**t) Country G...","2000","04","29",34,7
"Creed","Higher","1999","09","11",65,7
"Destiny's Child","Say My Name","1999","12","25",32,1
"Hoku","Another Dumb Blonde","2000","02","19",14,27
"Jay-Z","I Just Wanna Love U ...","2000","10","28",21,11
"Cam'ron","What Means The World...","2000","10","14",10,83
"Madonna","Music","2000","08","12",24,1
"Da Brat","That's What I'm Look...","2000","02","26",18,56
"Offspring, The","Original Prankster","2000","11","25",9,70
"Avant","Separated","2000","04","29",20,23
"Master P","Souljas","2000","11","18",1,98
"Blink-182","All The Small Things","1999","12","04",23,6
"Lucy Pearl","Dance Tonight","2000","05","20",19,36
"matchbox twenty","Bent","2000","04","29",39,1
"Black Rob","Whoa!","2000","03","04",17,43
"McEntire, Reba","What Do You Say","1999","10","30",20,31
"Chesney, Kenny","I Lost It","2000","10","21",20,34
"Stone Temple Pilots","Sour Girl","2000","07","08",13,78
"Nine Days","If I Am","2000","12","02",5,68
"Anthony, Marc","You Sang To Me","2000","02","26",32,2
"Jackson, Alan","It Must Be Love","2000","06","24",20,37
"Sugar Ray","Falls Apart","2000","01","15",20,29
"Backstreet Boys, The","Show Me The Meaning ...","2000","01","01",24,6
"Hill, Faith","Breathe","1999","11","06",53,2
"Savage Garden","Crash And Burn","2000","04","08",20,24
"Price, Kelly","As We Lay","2000","07","15",8,64
"Kravitz, Lenny","I Belong To You","2000","03","25",9,71
"Lil' Kim","How Many Licks?","2000","11","25",11,75
"Urban, Keith","Your Everything","2000","07","15",16,51
"Sammie","I Like It","2000","01","29",20,24
"Lonestar","Smile","1999","12","18",20,39
"Eve","Love Is Blind","2000","01","08",16,34
"Next","Wifey","2000","05","27",21,7
"Mystikal","Shake Ya Ass","2000","08","12",20,13
"LFO","I Don't Wanna Kiss Y...","2000","04","15",5,61
"Dixie Chicks, The","Cold Day In July","2000","06","24",10,65
"Aguilera, Christina","Come On Over Baby (A...","2000","08","05",21,1
"Changing Faces","That Other Woman","2000","09","30",11,64
"Strait, George","The Best Day","2000","01","29",20,31
"Kenny G","Auld Lang Syne (The ...","1999","12","25",5,7
"Vitamin C","The Itch","2000","12","02",9,45
"3 Doors Down","Loser","2000","10","21",20,55
"Vassar, Phil","Just Another Day In ...","2000","09","30",20,35
"Bloodhound Gang","The Bad Touch","2000","03","18",12,52
"Da Brat","What'Chu Like","2000","06","03",20,26
"Wallflowers, The","Sleepwalker","2000","10","28",6,73
"N'Sync","This I Promise You","2000","09","30",26,5
"Brock, Chad","Yes!","2000","04","08",20,22
"J-Shin","One Night Stand","1999","12","25",17,34
"Brooks & Dunn","You'll Always Be Lov...","2000","06","10",19,55
"Diffie, Joe","The Quittin' Kind","2000","01","01",6,90
"Trina","Pull Over","2000","09","09",4,93
"Ghostface Killah","Cherchez LaGhost","2000","08","05",1,98
"Clark, Terri","A Little Gasoline","2000","12","16",6,75
"Cyrus, Billy Ray","You Won't Be Lonely ...","2000","09","23",13,80
"Keith, Toby","How Do You Like Me N...","2000","01","29",20,31
"Montgomery Gentry","Daddy Won't Sell The...","2000","03","04",6,79
"Common","The Light","2000","08","05",19,44
"Gilman, Billy","One Voice","2000","06","17",19,38
"McGraw, Tim","My Best Friend","1999","11","27",21,29
"Houston, Whitney","My Love Is Your Love","1999","09","04",28,4
"Anastacia","I'm Outta Love","2000","04","01",12,92
"Aguilera, Christina","I Turn To You","2000","04","15",22,3
"DMX","Party Up (Up In Here...","2000","02","26",21,27
"Lil' Kim","No Matter What They ...","2000","07","15",10,60
"Sisqo","Got To Get It","1999","11","20",20,40
"McBride, Martina","There You Are","2000","09","09",13,60
"Dixie Chicks, The","Cowboy Take Me Away","1999","11","27",20,27
"Vertical Horizon","Everything You Want","2000","01","22",41,1
"Mary Mary","Shackles (Praise You...","2000","03","25",20,28
"Carter, Torrey","Take That","2000","06","24",7,86
"Splender","I Think God Can Expl...","2000","06","10",12,62
"Profyle","Liar","2000","09","16",20,14
"Adams, Yolanda","Open My Heart","2000","08","26",20,57
"Dixie Chicks, The","Goodbye Earl","2000","03","18",15,19
"Eminem","Stan","2000","11","04",15,51
"Keith, Toby","Country Comes To Tow...","2000","08","05",15,54
"Drama","Left, Right, Left","2000","02","12",13,73
