pokedex_number,name,type,total,hp,attack,defense,spatk,spdef,speed,generation,legendary,bug_type,dark_type,dragon_type,electric_type,fairy_type,fighting_type,fire_type,flying_type,ghost_type,grass_type,ground_type,ice_type,normal_type,poison_type,psychic_type,rock_type,steel_type,water_type
1,Bulbasaur,Grass,318,45,49,49,65,65,45,1,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,Ivysaur,Grass,405,60,62,63,80,80,60,1,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,Venusaur,Grass,525,80,82,83,100,100,80,1,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,VenusaurMega Venusaur,Grass,625,80,100,123,122,120,80,1,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,Charmander,Fire,309,39,52,43,60,50,65,1,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,Charmeleon,Fire,405,58,64,58,80,65,80,1,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,Charizard,Fire,534,78,84,78,109,85,100,1,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,CharizardMega Charizard X,Fire,634,78,130,111,130,85,100,1,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,CharizardMega Charizard Y,Fire,634,78,104,78,159,115,100,1,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,Squirtle,Water,314,44,48,65,50,64,43,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,Wartortle,Water,405,59,63,80,65,80,58,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,Blastoise,Water,530,79,83,100,85,105,78,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,BlastoiseMega Blastoise,Water,630,79,103,120,135,115,78,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,Caterpie,Bug,195,45,30,35,20,20,45,1,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Metapod,Bug,205,50,20,55,25,25,30,1,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Butterfree,Bug,395,60,45,50,90,80,70,1,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Weedle,Bug,195,40,35,30,20,20,50,1,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Kakuna,Bug,205,45,25,50,25,25,35,1,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Beedrill,Bug,395,65,90,40,45,80,75,1,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,BeedrillMega Beedrill,Bug,495,65,150,40,15,80,145,1,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Pidgey,Normal,251,40,45,40,35,35,56,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17,Pidgeotto,Normal,349,63,60,55,50,50,71,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18,Pidgeot,Normal,479,83,80,75,70,70,101,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18,PidgeotMega Pidgeot,Normal,579,83,80,80,135,80,121,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19,Rattata,Normal,253,30,56,35,25,35,72,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20,Raticate,Normal,413,55,81,60,50,70,97,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21,Spearow,Normal,262,40,60,30,31,31,70,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22,Fearow,Normal,442,65,90,65,61,61,100,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,Ekans,Poison,288,35,60,44,40,54,55,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24,Arbok,Poison,438,60,85,69,65,79,80,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25,Pikachu,Electric,320,35,55,40,50,50,90,1,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Raichu,Electric,485,60,90,55,90,80,110,1,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Sandshrew,Ground,300,50,75,85,20,30,40,1,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,Sandslash,Ground,450,75,100,110,45,55,65,1,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29,NidoranÃ¢Â™Â€,Poison,275,55,47,52,40,40,41,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30,Nidorina,Poison,365,70,62,67,55,55,56,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31,Nidoqueen,Poison,505,90,92,87,75,85,76,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32,NidoranÃ¢Â™Â‚,Poison,273,46,57,40,40,40,50,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33,Nidorino,Poison,365,61,72,57,55,55,65,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
34,Nidoking,Poison,505,81,102,77,85,75,85,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
35,Clefairy,Fairy,323,70,45,48,60,65,35,1,FALSE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Clefable,Fairy,483,95,70,73,95,90,60,1,FALSE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Vulpix,Fire,299,38,41,40,50,65,65,1,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38,Ninetales,Fire,505,73,76,75,81,100,100,1,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
39,Jigglypuff,Normal,270,115,45,20,45,25,20,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40,Wigglytuff,Normal,435,140,70,45,85,50,45,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
41,Zubat,Poison,245,40,45,35,30,40,55,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42,Golbat,Poison,455,75,80,70,65,75,90,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
43,Oddish,Grass,320,45,50,55,75,65,30,1,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44,Gloom,Grass,395,60,65,70,85,75,40,1,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,Vileplume,Grass,490,75,80,85,110,90,50,1,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
46,Paras,Bug,285,35,70,55,45,55,25,1,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Parasect,Bug,405,60,95,80,60,80,30,1,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Venonat,Bug,305,60,55,50,40,55,45,1,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Venomoth,Bug,450,70,65,60,90,75,90,1,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Diglett,Ground,265,10,55,25,35,45,95,1,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51,Dugtrio,Ground,405,35,80,50,50,70,120,1,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
52,Meowth,Normal,290,40,45,35,40,40,90,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
53,Persian,Normal,440,65,70,60,65,65,115,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
54,Psyduck,Water,320,50,52,48,65,50,55,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,Golduck,Water,500,80,82,78,95,80,85,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56,Mankey,Fighting,305,40,80,35,35,45,70,1,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
57,Primeape,Fighting,455,65,105,60,60,70,95,1,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
58,Growlithe,Fire,350,55,70,45,70,50,60,1,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
59,Arcanine,Fire,555,90,110,80,100,80,95,1,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
60,Poliwag,Water,300,40,50,40,40,40,90,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,Poliwhirl,Water,385,65,65,65,50,50,90,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
62,Poliwrath,Water,510,90,95,95,70,90,70,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63,Abra,Psychic,310,25,20,15,105,55,90,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64,Kadabra,Psychic,400,40,35,30,120,70,105,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
65,Alakazam,Psychic,500,55,50,45,135,95,120,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
65,AlakazamMega Alakazam,Psychic,590,55,50,65,175,95,150,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
66,Machop,Fighting,305,70,80,50,35,35,35,1,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
67,Machoke,Fighting,405,80,100,70,50,60,45,1,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
68,Machamp,Fighting,505,90,130,80,65,85,55,1,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
69,Bellsprout,Grass,300,50,75,35,70,30,40,1,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
70,Weepinbell,Grass,390,65,90,50,85,45,55,1,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
71,Victreebel,Grass,490,80,105,65,100,70,70,1,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72,Tentacool,Water,335,40,40,35,50,100,70,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,Tentacruel,Water,515,80,70,65,80,120,100,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
74,Geodude,Rock,300,40,80,100,30,30,20,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
75,Graveler,Rock,390,55,95,115,45,45,35,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
76,Golem,Rock,495,80,120,130,55,65,45,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
77,Ponyta,Fire,410,50,85,55,65,65,90,1,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
78,Rapidash,Fire,500,65,100,70,80,80,105,1,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
79,Slowpoke,Water,315,90,65,65,40,40,15,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,Slowbro,Water,490,95,75,110,100,80,30,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,SlowbroMega Slowbro,Water,590,95,75,180,130,80,30,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
81,Magnemite,Electric,325,25,35,70,95,55,45,1,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Magneton,Electric,465,50,60,95,120,70,70,1,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Farfetch'd,Normal,352,52,65,55,58,62,60,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
84,Doduo,Normal,310,35,85,45,35,35,75,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
85,Dodrio,Normal,460,60,110,70,60,60,100,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
86,Seel,Water,325,65,45,55,45,70,45,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87,Dewgong,Water,475,90,70,80,70,95,70,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
88,Grimer,Poison,325,80,80,50,40,50,25,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
89,Muk,Poison,500,105,105,75,65,100,50,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
90,Shellder,Water,305,30,65,100,45,25,40,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
91,Cloyster,Water,525,50,95,180,85,45,70,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
92,Gastly,Ghost,310,30,35,30,100,35,80,1,FALSE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
93,Haunter,Ghost,405,45,50,45,115,55,95,1,FALSE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
94,Gengar,Ghost,500,60,65,60,130,75,110,1,FALSE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
94,GengarMega Gengar,Ghost,600,60,65,80,170,95,130,1,FALSE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
95,Onix,Rock,385,35,45,160,30,45,70,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
96,Drowzee,Psychic,328,60,48,45,43,90,42,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
97,Hypno,Psychic,483,85,73,70,73,115,67,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
98,Krabby,Water,325,30,105,90,25,25,50,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
99,Kingler,Water,475,55,130,115,50,50,75,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100,Voltorb,Electric,330,40,30,50,55,55,100,1,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Electrode,Electric,480,60,50,70,80,80,140,1,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Exeggcute,Grass,325,60,40,80,60,45,40,1,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
103,Exeggutor,Grass,520,95,95,85,125,65,55,1,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
104,Cubone,Ground,320,50,50,95,40,50,35,1,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
105,Marowak,Ground,425,60,80,110,50,80,45,1,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
106,Hitmonlee,Fighting,455,50,120,53,35,110,87,1,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
107,Hitmonchan,Fighting,455,50,105,79,35,110,76,1,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
108,Lickitung,Normal,385,90,55,75,60,75,30,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
109,Koffing,Poison,340,40,65,95,60,45,35,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
110,Weezing,Poison,490,65,90,120,85,70,60,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
111,Rhyhorn,Ground,345,80,85,95,30,30,25,1,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
112,Rhydon,Ground,485,105,130,120,45,45,40,1,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
113,Chansey,Normal,450,250,5,5,35,105,50,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
114,Tangela,Grass,435,65,55,115,100,40,60,1,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
115,Kangaskhan,Normal,490,105,95,80,40,80,90,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
115,KangaskhanMega Kangaskhan,Normal,590,105,125,100,60,100,100,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
116,Horsea,Water,295,30,40,70,70,25,60,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
117,Seadra,Water,440,55,65,95,95,45,85,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
118,Goldeen,Water,320,45,67,60,35,50,63,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
119,Seaking,Water,450,80,92,65,65,80,68,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
120,Staryu,Water,340,30,45,55,70,55,85,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
121,Starmie,Water,520,60,75,85,100,85,115,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
122,Mr. Mime,Psychic,460,40,45,65,100,120,90,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
123,Scyther,Bug,500,70,110,80,55,80,105,1,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Jynx,Ice,455,65,50,35,115,95,95,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
125,Electabuzz,Electric,490,65,83,57,95,85,105,1,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Magmar,Fire,495,65,95,57,100,85,93,1,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
127,Pinsir,Bug,500,65,125,100,55,70,85,1,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,PinsirMega Pinsir,Bug,600,65,155,120,65,90,105,1,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Tauros,Normal,490,75,100,95,40,70,110,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
129,Magikarp,Water,200,20,10,55,15,20,80,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
130,Gyarados,Water,540,95,125,79,60,100,81,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
130,GyaradosMega Gyarados,Water,640,95,155,109,70,130,81,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131,Lapras,Water,535,130,85,80,85,95,60,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
132,Ditto,Normal,288,48,48,48,48,48,48,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
133,Eevee,Normal,325,55,55,50,45,65,55,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
134,Vaporeon,Water,525,130,65,60,110,95,65,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
135,Jolteon,Electric,525,65,65,60,110,95,130,1,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Flareon,Fire,525,65,130,60,95,110,65,1,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
137,Porygon,Normal,395,65,60,70,85,75,40,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
138,Omanyte,Rock,355,35,40,100,90,55,35,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
139,Omastar,Rock,495,70,60,125,115,70,55,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
140,Kabuto,Rock,355,30,80,90,55,45,55,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
141,Kabutops,Rock,495,60,115,105,65,70,80,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
142,Aerodactyl,Rock,515,80,105,65,60,75,130,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
142,AerodactylMega Aerodactyl,Rock,615,80,135,85,70,95,150,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
143,Snorlax,Normal,540,160,110,65,65,110,30,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
144,Articuno,Ice,580,90,85,100,95,125,85,1,TRUE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
145,Zapdos,Electric,580,90,90,85,125,90,100,1,TRUE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,Moltres,Fire,580,90,100,90,125,85,90,1,TRUE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
