draw_year,month,day,min_year,max_year,day_rank,draft_number,date
1969,1,1,1944,1950,1,305,1/1/1944
1969,1,2,1944,1950,2,159,1/2/1944
1969,1,3,1944,1950,3,251,1/3/1944
1969,1,4,1944,1950,4,215,1/4/1944
1969,1,5,1944,1950,5,101,1/5/1944
1969,1,6,1944,1950,6,224,1/6/1944
1969,1,7,1944,1950,7,306,1/7/1944
1969,1,8,1944,1950,8,199,1/8/1944
1969,1,9,1944,1950,9,194,1/9/1944
1969,1,10,1944,1950,10,325,1/10/1944
1969,1,11,1944,1950,11,329,1/11/1944
1969,1,12,1944,1950,12,221,1/12/1944
1969,1,13,1944,1950,13,318,1/13/1944
1969,1,14,1944,1950,14,238,1/14/1944
1969,1,15,1944,1950,15,17,1/15/1944
1969,1,16,1944,1950,16,121,1/16/1944
1969,1,17,1944,1950,17,235,1/17/1944
1969,1,18,1944,1950,18,140,1/18/1944
1969,1,19,1944,1950,19,58,1/19/1944
1969,1,20,1944,1950,20,280,1/20/1944
1969,1,21,1944,1950,21,186,1/21/1944
1969,1,22,1944,1950,22,337,1/22/1944
1969,1,23,1944,1950,23,118,1/23/1944
1969,1,24,1944,1950,24,59,1/24/1944
1969,1,25,1944,1950,25,52,1/25/1944
1969,1,26,1944,1950,26,92,1/26/1944
1969,1,27,1944,1950,27,355,1/27/1944
1969,1,28,1944,1950,28,77,1/28/1944
1969,1,29,1944,1950,29,349,1/29/1944
1969,1,30,1944,1950,30,164,1/30/1944
1969,1,31,1944,1950,31,211,1/31/1944
1969,2,1,1944,1950,32,86,2/1/1944
1969,2,2,1944,1950,33,144,2/2/1944
1969,2,3,1944,1950,34,297,2/3/1944
1969,2,4,1944,1950,35,210,2/4/1944
1969,2,5,1944,1950,36,214,2/5/1944
1969,2,6,1944,1950,37,347,2/6/1944
1969,2,7,1944,1950,38,91,2/7/1944
1969,2,8,1944,1950,39,181,2/8/1944
1969,2,9,1944,1950,40,338,2/9/1944
1969,2,10,1944,1950,41,216,2/10/1944
1969,2,11,1944,1950,42,150,2/11/1944
1969,2,12,1944,1950,43,68,2/12/1944
1969,2,13,1944,1950,44,152,2/13/1944
1969,2,14,1944,1950,45,4,2/14/1944
1969,2,15,1944,1950,46,89,2/15/1944
1969,2,16,1944,1950,47,212,2/16/1944
1969,2,17,1944,1950,48,189,2/17/1944
1969,2,18,1944,1950,49,292,2/18/1944
1969,2,19,1944,1950,50,25,2/19/1944
1969,2,20,1944,1950,51,302,2/20/1944
1969,2,21,1944,1950,52,363,2/21/1944
1969,2,22,1944,1950,53,290,2/22/1944
1969,2,23,1944,1950,54,57,2/23/1944
1969,2,24,1944,1950,55,236,2/24/1944
1969,2,25,1944,1950,56,179,2/25/1944
1969,2,26,1944,1950,57,365,2/26/1944
1969,2,27,1944,1950,58,205,2/27/1944
1969,2,28,1944,1950,59,299,2/28/1944
1969,2,29,1944,1950,60,285,2/29/1944
1969,3,1,1944,1950,61,108,3/1/1944
1969,3,2,1944,1950,62,29,3/2/1944
1969,3,3,1944,1950,63,267,3/3/1944
1969,3,4,1944,1950,64,275,3/4/1944
1969,3,5,1944,1950,65,293,3/5/1944
1969,3,6,1944,1950,66,139,3/6/1944
1969,3,7,1944,1950,67,122,3/7/1944
1969,3,8,1944,1950,68,213,3/8/1944
1969,3,9,1944,1950,69,317,3/9/1944
1969,3,10,1944,1950,70,323,3/10/1944
1969,3,11,1944,1950,71,136,3/11/1944
1969,3,12,1944,1950,72,300,3/12/1944
1969,3,13,1944,1950,73,259,3/13/1944
1969,3,14,1944,1950,74,354,3/14/1944
1969,3,15,1944,1950,75,169,3/15/1944
1969,3,16,1944,1950,76,166,3/16/1944
1969,3,17,1944,1950,77,33,3/17/1944
1969,3,18,1944,1950,78,332,3/18/1944
1969,3,19,1944,1950,79,200,3/19/1944
1969,3,20,1944,1950,80,239,3/20/1944
1969,3,21,1944,1950,81,334,3/21/1944
1969,3,22,1944,1950,82,265,3/22/1944
1969,3,23,1944,1950,83,256,3/23/1944
1969,3,24,1944,1950,84,258,3/24/1944
1969,3,25,1944,1950,85,343,3/25/1944
1969,3,26,1944,1950,86,170,3/26/1944
1969,3,27,1944,1950,87,268,3/27/1944
1969,3,28,1944,1950,88,223,3/28/1944
1969,3,29,1944,1950,89,362,3/29/1944
1969,3,30,1944,1950,90,217,3/30/1944
1969,3,31,1944,1950,91,30,3/31/1944
1969,4,1,1944,1950,92,32,4/1/1944
1969,4,2,1944,1950,93,271,4/2/1944
1969,4,3,1944,1950,94,83,4/3/1944
1969,4,4,1944,1950,95,81,4/4/1944
1969,4,5,1944,1950,96,269,4/5/1944
1969,4,6,1944,1950,97,253,4/6/1944
1969,4,7,1944,1950,98,147,4/7/1944
1969,4,8,1944,1950,99,312,4/8/1944
1969,4,9,1944,1950,100,219,4/9/1944
1969,4,10,1944,1950,101,218,4/10/1944
1969,4,11,1944,1950,102,14,4/11/1944
1969,4,12,1944,1950,103,346,4/12/1944
1969,4,13,1944,1950,104,124,4/13/1944
1969,4,14,1944,1950,105,231,4/14/1944
1969,4,15,1944,1950,106,273,4/15/1944
1969,4,16,1944,1950,107,148,4/16/1944
1969,4,17,1944,1950,108,260,4/17/1944
1969,4,18,1944,1950,109,90,4/18/1944
1969,4,19,1944,1950,110,336,4/19/1944
1969,4,20,1944,1950,111,345,4/20/1944
1969,4,21,1944,1950,112,62,4/21/1944
1969,4,22,1944,1950,113,316,4/22/1944
1969,4,23,1944,1950,114,252,4/23/1944
1969,4,24,1944,1950,115,2,4/24/1944
1969,4,25,1944,1950,116,351,4/25/1944
1969,4,26,1944,1950,117,340,4/26/1944
1969,4,27,1944,1950,118,74,4/27/1944
1969,4,28,1944,1950,119,262,4/28/1944
1969,4,29,1944,1950,120,191,4/29/1944
1969,4,30,1944,1950,121,208,4/30/1944
1969,5,1,1944,1950,122,330,5/1/1944
1969,5,2,1944,1950,123,298,5/2/1944
1969,5,3,1944,1950,124,40,5/3/1944
1969,5,4,1944,1950,125,276,5/4/1944
1969,5,5,1944,1950,126,364,5/5/1944
1969,5,6,1944,1950,127,155,5/6/1944
1969,5,7,1944,1950,128,35,5/7/1944
1969,5,8,1944,1950,129,321,5/8/1944
1969,5,9,1944,1950,130,197,5/9/1944
1969,5,10,1944,1950,131,65,5/10/1944
1969,5,11,1944,1950,132,37,5/11/1944
1969,5,12,1944,1950,133,133,5/12/1944
1969,5,13,1944,1950,134,295,5/13/1944
1969,5,14,1944,1950,135,178,5/14/1944
1969,5,15,1944,1950,136,130,5/15/1944
1969,5,16,1944,1950,137,55,5/16/1944
1969,5,17,1944,1950,138,112,5/17/1944
1969,5,18,1944,1950,139,278,5/18/1944
1969,5,19,1944,1950,140,75,5/19/1944
1969,5,20,1944,1950,141,183,5/20/1944
1969,5,21,1944,1950,142,250,5/21/1944
1969,5,22,1944,1950,143,326,5/22/1944
1969,5,23,1944,1950,144,319,5/23/1944
1969,5,24,1944,1950,145,31,5/24/1944
1969,5,25,1944,1950,146,361,5/25/1944
1969,5,26,1944,1950,147,357,5/26/1944
1969,5,27,1944,1950,148,296,5/27/1944
1969,5,28,1944,1950,149,308,5/28/1944
1969,5,29,1944,1950,150,226,5/29/1944
1969,5,30,1944,1950,151,103,5/30/1944
1969,5,31,1944,1950,152,313,5/31/1944
1969,6,1,1944,1950,153,249,6/1/1944
1969,6,2,1944,1950,154,228,6/2/1944
1969,6,3,1944,1950,155,301,6/3/1944
1969,6,4,1944,1950,156,20,6/4/1944
1969,6,5,1944,1950,157,28,6/5/1944
1969,6,6,1944,1950,158,110,6/6/1944
1969,6,7,1944,1950,159,85,6/7/1944
1969,6,8,1944,1950,160,366,6/8/1944
1969,6,9,1944,1950,161,335,6/9/1944
1969,6,10,1944,1950,162,206,6/10/1944
1969,6,11,1944,1950,163,134,6/11/1944
1969,6,12,1944,1950,164,272,6/12/1944
1969,6,13,1944,1950,165,69,6/13/1944
1969,6,14,1944,1950,166,356,6/14/1944
1969,6,15,1944,1950,167,180,6/15/1944
1969,6,16,1944,1950,168,274,6/16/1944
1969,6,17,1944,1950,169,73,6/17/1944
1969,6,18,1944,1950,170,341,6/18/1944
1969,6,19,1944,1950,171,104,6/19/1944
1969,6,20,1944,1950,172,360,6/20/1944
1969,6,21,1944,1950,173,60,6/21/1944
1969,6,22,1944,1950,174,247,6/22/1944
1969,6,23,1944,1950,175,109,6/23/1944
1969,6,24,1944,1950,176,358,6/24/1944
1969,6,25,1944,1950,177,137,6/25/1944
1969,6,26,1944,1950,178,22,6/26/1944
1969,6,27,1944,1950,179,64,6/27/1944
1969,6,28,1944,1950,180,222,6/28/1944
1969,6,29,1944,1950,181,353,6/29/1944
1969,6,30,1944,1950,182,209,6/30/1944
1969,7,1,1944,1950,183,93,7/1/1944
1969,7,2,1944,1950,184,350,7/2/1944
1969,7,3,1944,1950,185,115,7/3/1944
1969,7,4,1944,1950,186,279,7/4/1944
1969,7,5,1944,1950,187,188,7/5/1944
1969,7,6,1944,1950,188,327,7/6/1944
1969,7,7,1944,1950,189,50,7/7/1944
1969,7,8,1944,1950,190,13,7/8/1944
1969,7,9,1944,1950,191,277,7/9/1944
1969,7,10,1944,1950,192,284,7/10/1944
1969,7,11,1944,1950,193,248,7/11/1944
1969,7,12,1944,1950,194,15,7/12/1944
1969,7,13,1944,1950,195,42,7/13/1944
1969,7,14,1944,1950,196,331,7/14/1944
1969,7,15,1944,1950,197,322,7/15/1944
1969,7,16,1944,1950,198,120,7/16/1944
1969,7,17,1944,1950,199,98,7/17/1944
1969,7,18,1944,1950,200,190,7/18/1944
1969,7,19,1944,1950,201,227,7/19/1944
1969,7,20,1944,1950,202,187,7/20/1944
1969,7,21,1944,1950,203,27,7/21/1944
1969,7,22,1944,1950,204,153,7/22/1944
1969,7,23,1944,1950,205,172,7/23/1944
1969,7,24,1944,1950,206,23,7/24/1944
1969,7,25,1944,1950,207,67,7/25/1944
1969,7,26,1944,1950,208,303,7/26/1944
1969,7,27,1944,1950,209,289,7/27/1944
1969,7,28,1944,1950,210,88,7/28/1944
1969,7,29,1944,1950,211,270,7/29/1944
1969,7,30,1944,1950,212,287,7/30/1944
1969,7,31,1944,1950,213,193,7/31/1944
1969,8,1,1944,1950,214,111,8/1/1944
1969,8,2,1944,1950,215,45,8/2/1944
1969,8,3,1944,1950,216,261,8/3/1944
1969,8,4,1944,1950,217,145,8/4/1944
1969,8,5,1944,1950,218,54,8/5/1944
1969,8,6,1944,1950,219,114,8/6/1944
1969,8,7,1944,1950,220,168,8/7/1944
1969,8,8,1944,1950,221,48,8/8/1944
1969,8,9,1944,1950,222,106,8/9/1944
1969,8,10,1944,1950,223,21,8/10/1944
1969,8,11,1944,1950,224,324,8/11/1944
1969,8,12,1944,1950,225,142,8/12/1944
1969,8,13,1944,1950,226,307,8/13/1944
1969,8,14,1944,1950,227,198,8/14/1944
1969,8,15,1944,1950,228,102,8/15/1944
1969,8,16,1944,1950,229,44,8/16/1944
1969,8,17,1944,1950,230,154,8/17/1944
1969,8,18,1944,1950,231,141,8/18/1944
1969,8,19,1944,1950,232,311,8/19/1944
1969,8,20,1944,1950,233,344,8/20/1944
1969,8,21,1944,1950,234,291,8/21/1944
1969,8,22,1944,1950,235,339,8/22/1944
1969,8,23,1944,1950,236,116,8/23/1944
1969,8,24,1944,1950,237,36,8/24/1944
1969,8,25,1944,1950,238,286,8/25/1944
1969,8,26,1944,1950,239,245,8/26/1944
1969,8,27,1944,1950,240,352,8/27/1944
1969,8,28,1944,1950,241,167,8/28/1944
1969,8,29,1944,1950,242,61,8/29/1944
1969,8,30,1944,1950,243,333,8/30/1944
1969,8,31,1944,1950,244,11,8/31/1944
1969,9,1,1944,1950,245,225,9/1/1944
1969,9,2,1944,1950,246,161,9/2/1944
1969,9,3,1944,1950,247,49,9/3/1944
1969,9,4,1944,1950,248,232,9/4/1944
1969,9,5,1944,1950,249,82,9/5/1944
1969,9,6,1944,1950,250,6,9/6/1944
1969,9,7,1944,1950,251,8,9/7/1944
1969,9,8,1944,1950,252,184,9/8/1944
1969,9,9,1944,1950,253,263,9/9/1944
1969,9,10,1944,1950,254,71,9/10/1944
1969,9,11,1944,1950,255,158,9/11/1944
1969,9,12,1944,1950,256,242,9/12/1944
1969,9,13,1944,1950,257,175,9/13/1944
1969,9,14,1944,1950,258,1,9/14/1944
1969,9,15,1944,1950,259,113,9/15/1944
1969,9,16,1944,1950,260,207,9/16/1944
1969,9,17,1944,1950,261,255,9/17/1944
1969,9,18,1944,1950,262,246,9/18/1944
1969,9,19,1944,1950,263,177,9/19/1944
1969,9,20,1944,1950,264,63,9/20/1944
1969,9,21,1944,1950,265,204,9/21/1944
1969,9,22,1944,1950,266,160,9/22/1944
1969,9,23,1944,1950,267,119,9/23/1944
1969,9,24,1944,1950,268,195,9/24/1944
1969,9,25,1944,1950,269,149,9/25/1944
1969,9,26,1944,1950,270,18,9/26/1944
1969,9,27,1944,1950,271,233,9/27/1944
1969,9,28,1944,1950,272,257,9/28/1944
1969,9,29,1944,1950,273,151,9/29/1944
1969,9,30,1944,1950,274,315,9/30/1944
1969,10,1,1944,1950,275,359,10/1/1944
1969,10,2,1944,1950,276,125,10/2/1944
1969,10,3,1944,1950,277,244,10/3/1944
1969,10,4,1944,1950,278,202,10/4/1944
1969,10,5,1944,1950,279,24,10/5/1944
1969,10,6,1944,1950,280,87,10/6/1944
1969,10,7,1944,1950,281,234,10/7/1944
1969,10,8,1944,1950,282,283,10/8/1944
1969,10,9,1944,1950,283,342,10/9/1944
1969,10,10,1944,1950,284,220,10/10/1944
1969,10,11,1944,1950,285,237,10/11/1944
1969,10,12,1944,1950,286,72,10/12/1944
1969,10,13,1944,1950,287,138,10/13/1944
1969,10,14,1944,1950,288,294,10/14/1944
1969,10,15,1944,1950,289,171,10/15/1944
1969,10,16,1944,1950,290,254,10/16/1944
1969,10,17,1944,1950,291,288,10/17/1944
1969,10,18,1944,1950,292,5,10/18/1944
1969,10,19,1944,1950,293,241,10/19/1944
1969,10,20,1944,1950,294,192,10/20/1944
1969,10,21,1944,1950,295,243,10/21/1944
1969,10,22,1944,1950,296,117,10/22/1944
1969,10,23,1944,1950,297,201,10/23/1944
1969,10,24,1944,1950,298,196,10/24/1944
1969,10,25,1944,1950,299,176,10/25/1944
1969,10,26,1944,1950,300,7,10/26/1944
1969,10,27,1944,1950,301,264,10/27/1944
1969,10,28,1944,1950,302,94,10/28/1944
1969,10,29,1944,1950,303,229,10/29/1944
1969,10,30,1944,1950,304,38,10/30/1944
1969,10,31,1944,1950,305,79,10/31/1944
1969,11,1,1944,1950,306,19,11/1/1944
1969,11,2,1944,1950,307,34,11/2/1944
1969,11,3,1944,1950,308,348,11/3/1944
1969,11,4,1944,1950,309,266,11/4/1944
1969,11,5,1944,1950,310,310,11/5/1944
1969,11,6,1944,1950,311,76,11/6/1944
1969,11,7,1944,1950,312,51,11/7/1944
1969,11,8,1944,1950,313,97,11/8/1944
1969,11,9,1944,1950,314,80,11/9/1944
1969,11,10,1944,1950,315,282,11/10/1944
1969,11,11,1944,1950,316,46,11/11/1944
1969,11,12,1944,1950,317,66,11/12/1944
1969,11,13,1944,1950,318,126,11/13/1944
1969,11,14,1944,1950,319,127,11/14/1944
1969,11,15,1944,1950,320,131,11/15/1944
1969,11,16,1944,1950,321,107,11/16/1944
1969,11,17,1944,1950,322,143,11/17/1944
1969,11,18,1944,1950,323,146,11/18/1944
1969,11,19,1944,1950,324,203,11/19/1944
1969,11,20,1944,1950,325,185,11/20/1944
1969,11,21,1944,1950,326,156,11/21/1944
1969,11,22,1944,1950,327,9,11/22/1944
1969,11,23,1944,1950,328,182,11/23/1944
1969,11,24,1944,1950,329,230,11/24/1944
1969,11,25,1944,1950,330,132,11/25/1944
1969,11,26,1944,1950,331,309,11/26/1944
1969,11,27,1944,1950,332,47,11/27/1944
1969,11,28,1944,1950,333,281,11/28/1944
1969,11,29,1944,1950,334,99,11/29/1944
1969,11,30,1944,1950,335,174,11/30/1944
1969,12,1,1944,1950,336,129,12/1/1944
1969,12,2,1944,1950,337,328,12/2/1944
1969,12,3,1944,1950,338,157,12/3/1944
1969,12,4,1944,1950,339,165,12/4/1944
1969,12,5,1944,1950,340,56,12/5/1944
1969,12,6,1944,1950,341,10,12/6/1944
1969,12,7,1944,1950,342,12,12/7/1944
1969,12,8,1944,1950,343,105,12/8/1944
1969,12,9,1944,1950,344,43,12/9/1944
1969,12,10,1944,1950,345,41,12/10/1944
1969,12,11,1944,1950,346,39,12/11/1944
1969,12,12,1944,1950,347,314,12/12/1944
1969,12,13,1944,1950,348,163,12/13/1944
1969,12,14,1944,1950,349,26,12/14/1944
1969,12,15,1944,1950,350,320,12/15/1944
1969,12,16,1944,1950,351,96,12/16/1944
1969,12,17,1944,1950,352,304,12/17/1944
1969,12,18,1944,1950,353,128,12/18/1944
1969,12,19,1944,1950,354,240,12/19/1944
1969,12,20,1944,1950,355,135,12/20/1944
1969,12,21,1944,1950,356,70,12/21/1944
1969,12,22,1944,1950,357,53,12/22/1944
1969,12,23,1944,1950,358,162,12/23/1944
1969,12,24,1944,1950,359,95,12/24/1944
1969,12,25,1944,1950,360,84,12/25/1944
1969,12,26,1944,1950,361,173,12/26/1944
1969,12,27,1944,1950,362,78,12/27/1944
1969,12,28,1944,1950,363,123,12/28/1944
1969,12,29,1944,1950,364,16,12/29/1944
1969,12,30,1944,1950,365,3,12/30/1944
1969,12,31,1944,1950,366,100,12/31/1944